age_at_last_season,height_in_cm,club_position,total_goals,total_assists,total_minutes_played,total_yellow_cards,total_red_cards,has_agent,ga_per90min,contract_years_remaining,last_season,is_champion,is_top_4,is_relegation,current_club_name,country_of_citizenship,current_club_domestic_competition_id,sub_position_Central Midfield,sub_position_Centre-Back,sub_position_Centre-Forward,sub_position_Defensive Midfield,sub_position_Goalkeeper,sub_position_Left Midfield,sub_position_Left Winger,sub_position_Left-Back,sub_position_Right Midfield,sub_position_Right Winger,sub_position_Right-Back,sub_position_Second Striker,foot_left,foot_right,market_value_log
32.0,189.0,18.0,2,0,1599,2,0,1,0.11,1,2024,0,0,1,13.384651249666106,13.407467214017148,13.667473860453931,False,True,False,False,False,False,False,False,False,False,False,False,False,True,14.220976332738882
23.0,190.0,16.0,1,0,1588,5,0,0,0.06,7,2017,0,0,0,12.225779935101784,13.087573451666692,12.979371833211387,False,True,False,False,False,False,False,False,False,False,False,False,False,True,12.429220196836383
22.0,181.0,12.0,1,3,2137,4,0,1,0.17,1,2024,0,0,0,14.676656194657,13.061773578166855,13.520938528666802,True,False,False,False,False,False,False,False,False,False,False,False,False,True,15.424948670398354
34.0,179.0,15.0,0,0,1633,5,0,1,0.0,3,2013,0,0,0,12.262183004554634,12.94715028771351,12.777278656448999,False,False,False,False,False,False,False,False,False,False,True,False,False,True,12.206077645517674
22.0,186.0,16.0,1,1,967,1,0,1,0.19,3,2024,0,0,0,13.010727533247533,14.439217313704884,12.777278656448999,False,False,False,False,False,False,True,False,False,False,False,False,True,False,14.731801689838349
24.0,178.0,12.0,0,2,611,2,0,1,0.29,4,2024,0,0,0,15.76450912202255,13.51379619620572,13.921585930435782,False,False,False,False,False,False,False,False,False,False,True,False,False,True,16.705882371415992
25.0,175.0,7.0,0,0,23,0,0,1,0.0,3,2024,0,0,0,12.481200671357309,12.36921795613697,12.407632169987018,True,False,False,False,False,False,False,False,False,False,False,False,False,True,13.45883704259595
25.0,175.0,10.0,2,5,2534,4,0,1,0.25,3,2022,0,0,0,12.817752201100827,13.2107290558567,13.015509922082185,True,False,False,False,False,False,False,False,False,False,False,False,False,True,14.845130332288226
25.0,178.0,8.0,0,0,1327,2,0,1,0.0,4,2022,0,0,0,13.191077692401102,13.108029687215607,12.979371833211387,False,False,False,False,False,False,False,True,False,False,False,False,False,True,12.899222326086994
23.0,189.0,4.0,2,1,605,4,0,1,0.45,3,2018,0,1,0,12.401786551907565,13.569395993184157,12.376462602106338,False,False,True,False,False,False,False,False,False,False,False,False,True,False,12.691583538230217
30.0,182.0,12.0,0,0,443,0,0,1,0.0,3,2022,0,0,0,12.154046048954985,13.196044953185169,12.376462602106338,False,False,False,False,False,False,True,False,False,False,False,False,True,False,13.017005083966255
24.0,180.0,15.0,2,2,897,1,0,1,0.4,1,2024,0,0,0,14.422386043760271,13.407467214017148,13.667473860453931,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.76142084987672
27.0,179.0,12.0,0,0,1428,6,0,1,0.0,1,2023,0,0,0,12.347814468534601,12.711041202212883,12.53555738329438,False,False,False,True,False,False,False,False,False,False,False,False,False,True,13.017005083966255
23.0,183.0,15.0,0,0,51,1,0,0,0.0,3,2024,0,0,0,14.42389848769885,12.534487650332228,13.921585930435782,False,False,False,False,False,False,False,False,False,True,False,False,True,False,13.122365377402328
