iter	RMSE
0	1.561503805
1	1.534544806
2	1.508548319
3	1.483395285
4	1.457518943
5	1.433892625
6	1.409927487
7	1.387889893
8	1.366611863
9	1.34671695
10	1.327867038
11	1.30872118
12	1.290145256
13	1.273001039
14	1.254924705
15	1.237670114
16	1.221581362
17	1.205834839
18	1.191284477
19	1.176502348
20	1.162281298
21	1.148426672
22	1.134353572
23	1.121380104
24	1.112043292
25	1.099737162
26	1.088073586
27	1.077026443
28	1.066134965
29	1.056359817
30	1.046711343
31	1.036190284
32	1.027420445
33	1.018279042
34	1.009371766
35	1.001738696
36	0.9941053888
37	0.9862960492
38	0.978941531
39	0.9726241476
40	0.9662812866
41	0.9592354753
42	0.953045194
43	0.9499227665
44	0.9430357515
45	0.9374459559
46	0.9334652371
47	0.9279760245
48	0.923411353
49	0.9182925382
50	0.913436514
51	0.9080222257
52	0.9030505248
53	0.8980024422
54	0.8936625904
55	0.8890546237
56	0.8848710226
57	0.8807015991
58	0.8773341573
59	0.8737314691
60	0.87050198
61	0.8670179674
62	0.8635508213
63	0.8606889883
64	0.8576049666
65	0.8543346588
66	0.8513791978
67	0.848585287
68	0.8452894589
69	0.8427780877
70	0.8406817054
71	0.8382476989
72	0.8362280986
73	0.8340094632
74	0.8319718743
75	0.8299787433
76	0.8278515949
77	0.826179029
78	0.8243697648
79	0.8218179724
80	0.8195048382
81	0.817695365
82	0.8157194265
83	0.8142216071
84	0.8120135291
85	0.8098111632
86	0.8079461058
87	0.8064616483
88	0.8051067763
89	0.8034119695
90	0.8016921273
91	0.8001655511
92	0.7983532569
93	0.7970311392
94	0.7955728842
95	0.7938507886
96	0.792325093
97	0.7912338912
98	0.7897556502
99	0.7883300323
100	0.7873443908
101	0.7857609882
102	0.7846780772
103	0.7835654697
104	0.7823303042
105	0.780936416
106	0.7797964738
107	0.7792733486
108	0.7781724525
109	0.7772527371
110	0.7759453262
111	0.7749842481
112	0.774141319
113	0.7731289546
114	0.7723457823
115	0.7715559787
116	0.7702076607
117	0.7692900469
118	0.7685716242
119	0.7673962683
120	0.7666872674
121	0.7654416166
122	0.7642696489
123	0.763137941
124	0.7626196808
125	0.7616246075
126	0.7615084191
127	0.7612905568
128	0.760708259
129	0.7596825904
130	0.7588749095
131	0.7580799811
132	0.7575100545
133	0.7569578157
134	0.7563080279
135	0.7555153477
136	0.7548577372
137	0.7537459068
138	0.7529453863
139	0.7527744378
140	0.7517522658
141	0.7509662189
142	0.7504963772
143	0.7497898312
144	0.7489442793
145	0.7484695446
146	0.7478970524
147	0.7475334055
148	0.7470541666
149	0.7464555846
150	0.7463899065
151	0.7455409407
152	0.7452461513
153	0.7447846924
154	0.7441127186
155	0.7433806901
156	0.7427864209
157	0.7421659957
158	0.7418841175
159	0.7413681794
160	0.7407693092
161	0.7404434733
162	0.7398306112
163	0.7394144889
164	0.7387613837
165	0.7380400643
166	0.7375078996
167	0.7372587808
168	0.7368895185
169	0.7367195501
170	0.7363667439
171	0.73564502
172	0.7352902247
173	0.7347321341
174	0.7342870821
175	0.7340051204
176	0.7331981049
177	0.7326879269
178	0.7319202707
179	0.7312936768
180	0.7308198395
181	0.7303323551
182	0.7293262825
183	0.7289892418
184	0.7284014065
185	0.7278335761
186	0.7274446412
187	0.7270126069
188	0.726283923
189	0.7258256624
190	0.7253451716
191	0.7251211976
192	0.724687144
193	0.7242698566
194	0.7239276036
195	0.7231170164
196	0.7228971654
197	0.7222981209
198	0.7217062641
199	0.7210595187
200	0.720555829
201	0.7201386352
202	0.7197240036
203	0.7193962024
204	0.7190263541
205	0.7184655365
206	0.7178540959
207	0.7173391893
208	0.7172059965
209	0.7168311957
210	0.7164961498
211	0.7161430925
212	0.715891389
213	0.7155854151
214	0.7153387197
215	0.7146423546
216	0.7139322139
217	0.7136452608
218	0.713010159
219	0.7124683839
220	0.7120920675
221	0.7115866236
222	0.7111358003
223	0.7109403783
224	0.7108492281
225	0.7108283507
226	0.7103045892
227	0.7096131266
228	0.7090742623
229	0.7087778313
230	0.7084195205
231	0.7082320781
232	0.7078442909
233	0.7075269333
234	0.7072658356
235	0.7069485353
236	0.7066688022
237	0.7064663416
238	0.7061554215
239	0.706115997
240	0.7057468074
241	0.7053431031
242	0.7048853737
243	0.7044700948
244	0.7042264743
245	0.7039527921
246	0.7035784497
247	0.7033272913
248	0.7029733051
249	0.7023490142
250	0.7018924383
251	0.7015475224
252	0.7012681141
253	0.7009095587
254	0.7004424016
255	0.700093084
256	0.700079585
257	0.6998182548
258	0.6992923635
259	0.6991504491
260	0.6988567592
261	0.6986825506
262	0.6982790285
263	0.6979235488
264	0.6976073357
265	0.6973487174
266	0.6971669922
267	0.6969523835
268	0.6964613616
269	0.6961841842
270	0.6958443128
271	0.6954824821
272	0.6948038129
273	0.6945448933
274	0.6942810372
275	0.6935931061
276	0.6933623689
277	0.6931260413
278	0.6929648196
279	0.6927230588
280	0.692188303
281	0.6919628516
282	0.6917470658
283	0.6913174603
284	0.6909187598
285	0.690780948
286	0.6904658665
287	0.690000113
288	0.6897018487
289	0.689061874
290	0.6885415604
291	0.6879765231
292	0.6873620851
293	0.686886283
294	0.686581062
295	0.6863919515
296	0.6857270873
297	0.6853424352
298	0.6849952074
299	0.6844886138
300	0.6840647454
301	0.6838348386
302	0.6835720538
303	0.6835604277
304	0.6831768235
305	0.6828005716
306	0.6821281646
307	0.6818162954
308	0.6816044837
309	0.6812144062
310	0.6810329006
311	0.6805786211
312	0.6802442495
313	0.6799597153
314	0.6796360696
315	0.6792704466
316	0.678855719
317	0.6784254479
318	0.6780913624
319	0.6775334639
320	0.6772944076
321	0.6767468055
322	0.6764207732
323	0.6757836623
324	0.6754394672
325	0.6747819835
326	0.6745046788
327	0.6739671611
328	0.6737840639
329	0.6731486671
330	0.6728658913
331	0.6722639272
332	0.6716126235
333	0.6714073727
334	0.6710749286
335	0.6706623039
336	0.6703817862
337	0.6703657096
338	0.6699517761
339	0.6695093653
340	0.6692421434
341	0.6688482073
342	0.6684942999
343	0.6680242442
344	0.6674557073
345	0.6670164029
346	0.6667915037
347	0.6663497723
348	0.6660691695
349	0.6657111997
350	0.6651334075
351	0.6648412955
352	0.6645289111
353	0.663908482
354	0.6635161527
355	0.6629220152
356	0.6625246945
357	0.6621005212
358	0.6616680243
359	0.6613794098
360	0.6608366346
361	0.6606077848
362	0.6603563814
363	0.6598998118
364	0.6594885272
365	0.6593141997
366	0.6588780216
367	0.6585588996
368	0.6583656069
369	0.657936671
370	0.6575455346
371	0.6567386932
372	0.6561757498
373	0.6556986248
374	0.6554529213
375	0.6551614197
376	0.6547702844
377	0.6543546135
378	0.6538549137
379	0.6534707835
380	0.6528584852
381	0.6522847315
382	0.651867449
383	0.651518461
384	0.6510740926
385	0.6508283988
386	0.6504538593
387	0.6499996295
388	0.6494623585
389	0.649167907
390	0.6487093822
391	0.6480260976
392	0.6478569618
393	0.6476636207
394	0.6472864149
395	0.6469918871
396	0.646752972
397	0.6463570729
398	0.6460235961
399	0.64577158
400	0.6453667772
401	0.6447886689
402	0.6442879241
403	0.6438618622
404	0.6435553823
405	0.6433055948
406	0.6428624663
407	0.6422736874
408	0.642059873
409	0.6416374006
410	0.6413414608
411	0.6409961514
412	0.6405585725
413	0.6403118592
414	0.6398963651
415	0.6395304177
416	0.6388911727
417	0.6384103852
418	0.6379705165
419	0.6374754831
420	0.6371080775
421	0.6368835344
422	0.6365859812
423	0.6360900234
424	0.635731808
425	0.6355143504
426	0.6352379286
427	0.6350024008
428	0.6347168252
429	0.6343860544
430	0.6339119612
431	0.6337016904
432	0.6333676926
433	0.6330721939
434	0.6327818652
435	0.6325719723
436	0.6322969923
437	0.6319692239
438	0.6316376923
439	0.6313061313
440	0.6310681196
441	0.6307560047
442	0.630368317
443	0.6299582287
444	0.6295490572
445	0.6291908491
446	0.6290675712
447	0.6286447896
448	0.6283308727
449	0.628025383
450	0.6276880058
451	0.6274432874
452	0.6271663319
453	0.6267640489
454	0.6262124668
455	0.6259483429
456	0.6257254073
457	0.6253769685
458	0.6250770409
459	0.6248775273
460	0.6244621739
461	0.6242237556
462	0.6238394978
463	0.6235055127
464	0.62333067
465	0.6231529389
466	0.6228289683
467	0.6225986683
468	0.6222323962
469	0.6218519095
470	0.6216330111
471	0.6214285227
472	0.6208605639
473	0.6205825354
474	0.6203062171
475	0.6200783429
476	0.6198082289
477	0.6195876559
478	0.6192338411
479	0.6190333443
480	0.6188435074
481	0.6185421372
482	0.6184082902
483	0.6182087911
484	0.6179689877
485	0.6176757682
486	0.6174348484
487	0.6171210991
488	0.616897688
489	0.6165089586
490	0.6161891246
491	0.6160446804
492	0.6157320396
493	0.6154141044
