iter	Passed	Remaining
0	40	20141
1	84	20958
2	141	23371
3	183	22812
4	225	22369
5	269	22189
6	309	21795
7	351	21587
8	392	21386
9	432	21203
10	474	21094
11	516	21010
12	566	21213
13	626	21734
14	672	21746
15	718	21749
16	762	21668
17	803	21527
18	844	21371
19	886	21270
20	935	21330
21	978	21265
22	1024	21241
23	1067	21173
24	1110	21092
25	1150	20977
26	1207	21144
27	1254	21151
28	1296	21061
29	1343	21055
30	1386	20977
31	1424	20835
32	1465	20734
33	1508	20675
34	1548	20572
35	1588	20475
36	1630	20409
37	1672	20337
38	1712	20246
39	1753	20165
40	1799	20145
41	1839	20055
42	1879	19976
43	1921	19913
44	1963	19849
45	2005	19794
46	2046	19724
47	2089	19677
48	2133	19636
49	2175	19580
50	2220	19545
51	2262	19493
52	2303	19430
53	2344	19367
54	2388	19325
55	2432	19282
56	2474	19234
57	2517	19184
58	2567	19188
59	2609	19138
60	2652	19091
61	2695	19039
62	2739	19004
63	2783	18964
64	2829	18935
65	2874	18899
66	2929	18930
67	2970	18869
68	3010	18807
69	3048	18727
70	3089	18669
71	3131	18617
72	3173	18560
73	3212	18494
74	3253	18435
75	3294	18378
76	3335	18321
77	3376	18267
78	3417	18210
79	3458	18156
80	3520	18210
81	3563	18165
82	3611	18146
83	3678	18215
84	3718	18154
85	3761	18108
86	3804	18060
87	3859	18067
88	3902	18020
89	3943	17962
90	3984	17907
91	4026	17855
92	4065	17792
93	4106	17737
94	4145	17673
95	4187	17622
96	4229	17571
97	4271	17523
98	4310	17458
99	4352	17408
100	4393	17358
101	4435	17305
102	4474	17245
103	4514	17191
104	4558	17147
105	4600	17099
106	4646	17067
107	4694	17038
108	4714	16911
109	4755	16860
110	4782	16759
111	4822	16706
112	4868	16672
113	4894	16571
114	4933	16516
115	4974	16466
116	5016	16420
117	5056	16369
118	5096	16317
119	5136	16265
120	5176	16215
121	5218	16169
122	5259	16120
123	5300	16073
124	5341	16023
125	5380	15970
126	5423	15928
127	5464	15882
128	5481	15765
129	5522	15717
130	5565	15675
