Competition_Name,Encoded_Value,Player_Count
bundesliga,14.558811547139316,1171
laliga,14.558811547139316,1534
super-league-1,14.558811547139316,1903
serie-a,13.726835207765218,1693
ligue-1,13.726835207765218,1370
premier-liga,12.979371833211388,3044
scottish-premiership,12.979371833211388,1351
premier-league,12.580020031592314,1367
jupiler-pro-league,12.580020031592314,1402
superligaen,12.53555738329438,1197
super-lig,12.428854993374186,1885
eredivisie,12.428854993374186,1514
liga-portugal-bwin,12.428854993374186,1947
